NT	PI	CH	T
3 3.145320 3501 0.022620
2 3.152920 3501 0.019925
1 3.138360 3501 0.002836
8 3.139320 3601 0.029051
7 3.145680 3601 0.030459
6 3.134320 3601 0.029669
5 3.136240 3601 0.026602
4 3.151960 3601 0.018746
3 3.142320 3601 0.022640
2 3.138960 3601 0.016924
1 3.136160 3601 0.002813
8 3.143880 3701 0.029464
7 3.141520 3701 0.030203
6 3.142920 3701 0.029932
5 3.140320 3701 0.027524
4 3.136440 3701 0.019072
3 3.136880 3701 0.022950
2 3.134760 3701 0.015988
1 3.137080 3701 0.002863
8 3.138760 3801 0.028343
7 3.143720 3801 0.030169
6 3.139840 3801 0.029806
5 3.141800 3801 0.026168
4 3.137960 3801 0.019749
3 3.137880 3801 0.022734
2 3.137800 3801 0.018469
1 3.141040 3801 0.002875
8 3.150200 3901 0.029142
7 3.131960 3901 0.029955
6 3.146000 3901 0.030781
5 3.148120 3901 0.026282
4 3.142280 3901 0.018809
3 3.146240 3901 0.022418
2 3.136040 3901 0.017377
1 3.138000 3901 0.002840
8 3.147760 4001 0.028843
7 3.137400 4001 0.029482
6 3.137720 4001 0.029200
5 3.135840 4001 0.025760
4 3.143320 4001 0.018454
3 3.148640 4001 0.022489
2 3.142920 4001 0.020235
1 3.143680 4001 0.002840
8 3.147440 4101 0.029055
7 3.143800 4101 0.029741
6 3.148120 4101 0.031130
5 3.140320 4101 0.027036
4 3.132840 4101 0.018409
3 3.147600 4101 0.022091
2 3.132640 4101 0.023042
1 3.139480 4101 0.002813
8 3.143800 4201 0.029244
7 3.147760 4201 0.029616
6 3.147840 4201 0.030392
5 3.136080 4201 0.026249
4 3.140920 4201 0.018132
3 3.146800 4201 0.022832
2 3.141560 4201 0.019706
1 3.141920 4201 0.002815
8 3.136760 4301 0.029152
7 3.144640 4301 0.029963
6 3.151840 4301 0.030147
5 3.138480 4301 0.025563
4 3.144240 4301 0.018912
3 3.143840 4301 0.022613
2 3.146200 4301 0.017323
1 3.144400 4301 0.002850
8 3.136320 4401 0.029866
7 3.143880 4401 0.030611
6 3.151280 4401 0.029513
5 3.142480 4401 0.023740
4 3.147400 4401 0.020706
3 3.141920 4401 0.021934
2 3.141280 4401 0.015915
1 3.148840 4401 0.002851
8 3.138200 4501 0.028969
7 3.138240 4501 0.030669
6 3.139760 4501 0.029617
5 3.139600 4501 0.026213
4 3.139680 4501 0.019195
3 3.134640 4501 0.022476
2 3.144560 4501 0.017000
1 3.146040 4501 0.002836
8 3.140200 4601 0.029663
7 3.142600 4601 0.029320
6 3.146440 4601 0.029079
5 3.139040 4601 0.021863
4 3.139840 4601 0.019808
3 3.155520 4601 0.022359
2 3.145760 4601 0.014672
1 3.138520 4601 0.002849
8 3.140840 4701 0.028920
7 3.135200 4701 0.029785
6 3.140920 4701 0.030458
5 3.147440 4701 0.027056
4 3.143240 4701 0.018695
3 3.141920 4701 0.022373
2 3.140880 4701 0.015377
1 3.140880 4701 0.002844
8 3.140880 4801 0.029042
7 3.147960 4801 0.029938
6 3.142400 4801 0.029588
5 3.147040 4801 0.023150
4 3.135080 4801 0.020497
3 3.141040 4801 0.016459
2 3.144760 4801 0.013732
1 3.146720 4801 0.002883
8 3.136720 4901 0.029189
7 3.136040 4901 0.030518
6 3.141840 4901 0.029948
5 3.146320 4901 0.026115
4 3.135120 4901 0.018782
3 3.144920 4901 0.021957
2 3.146280 4901 0.015274
1 3.147040 4901 0.002926
8 3.137600 5001 0.028830
7 3.141720 5001 0.031380
6 3.142640 5001 0.029893
5 3.143360 5001 0.026339
4 3.143600 5001 0.020970
3 3.139480 5001 0.022360
2 3.143880 5001 0.039538
1 3.138440 5001 0.002981
8 3.154720 5101 0.033412
7 3.144040 5101 0.031456
6 3.139920 5101 0.029934
5 3.142760 5101 0.023626
4 3.140320 5101 0.021260
3 3.143520 5101 0.019682
2 3.136360 5101 0.008192
1 3.141120 5101 0.003140
8 3.141400 5201 0.028130
7 3.137160 5201 0.030431
6 3.140120 5201 0.030167
5 3.144240 5201 0.027017
4 3.135680 5201 0.021074
3 3.143280 5201 0.019988
2 3.139680 5201 0.008343
1 3.127040 5201 0.003139
8 3.136120 5301 0.028694
7 3.144440 5301 0.029938
6 3.139080 5301 0.029633
5 3.145800 5301 0.024897
4 3.138960 5301 0.021543
3 3.142600 5301 0.020067
2 3.148280 5301 0.017897
1 3.146320 5301 0.002805
8 3.131360 5401 0.029390
7 3.142120 5401 0.029487
6 3.149600 5401 0.030054
5 3.137760 5401 0.025868
4 3.132720 5401 0.021378
3 3.132800 5401 0.022254
2 3.136880 5401 0.018640
1 3.143680 5401 0.002949
8 3.153040 5501 0.045272
7 3.135000 5501 0.030580
6 3.146520 5501 0.030199
5 3.139840 5501 0.024247
4 3.142120 5501 0.022456
3 3.140480 5501 0.020739
2 3.139960 5501 0.027014
1 3.149720 5501 0.002865
8 3.135960 5601 0.033142
7 3.146440 5601 0.030788
6 3.145080 5601 0.030228
5 3.147960 5601 0.024284
4 3.133280 5601 0.021948
3 3.141000 5601 0.022546
2 3.142920 5601 0.019396
1 3.150800 5601 0.002888
8 3.144280 5701 0.031948
7 3.130800 5701 0.031946
6 3.134960 5701 0.029427
5 3.150520 5701 0.027646
4 3.142640 5701 0.020336
