NT	PI	CH	T
2 3.147760 5101 0.034312
1 3.139680 5101 0.002943
8 3.144880 5201 0.039010
7 3.146960 5201 0.027965
6 3.136720 5201 0.023612
5 3.140400 5201 0.023309
4 3.143560 5201 0.021582
3 3.138440 5201 0.022026
2 3.154160 5201 0.030614
1 3.146760 5201 0.003526
8 3.151400 5301 0.036469
7 3.141000 5301 0.029902
6 3.139280 5301 0.026174
5 3.133120 5301 0.022627
4 3.147560 5301 0.020924
3 3.139640 5301 0.022444
2 3.145400 5301 0.021603
1 3.141600 5301 0.003062
8 3.138200 5401 0.023531
7 3.145920 5401 0.028712
6 3.137560 5401 0.023818
5 3.143320 5401 0.024389
4 3.141520 5401 0.021543
3 3.146400 5401 0.022181
2 3.143360 5401 0.034098
1 3.136680 5401 0.003310
8 3.136360 5501 0.025607
7 3.137040 5501 0.024168
6 3.138640 5501 0.023953
5 3.136960 5501 0.022652
4 3.153840 5501 0.019112
3 3.133360 5501 0.020805
2 3.140640 5501 0.033168
1 3.153600 5501 0.002895
8 3.132040 5601 0.026573
7 3.147320 5601 0.026623
6 3.141040 5601 0.024882
5 3.139760 5601 0.022775
4 3.136200 5601 0.018082
3 3.143360 5601 0.018923
2 3.139200 5601 0.016605
1 3.143440 5601 0.003023
8 3.131720 5701 0.034717
7 3.148560 5701 0.026214
6 3.136000 5701 0.024693
5 3.134280 5701 0.024256
4 3.138960 5701 0.020329
3 3.147320 5701 0.021820
2 3.138360 5701 0.019819
1 3.144520 5701 0.002991
8 3.142280 5801 0.026657
7 3.138640 5801 0.024121
6 3.142400 5801 0.024357
5 3.135480 5801 0.024252
4 3.134480 5801 0.018335
3 3.140000 5801 0.021131
2 3.137720 5801 0.035917
1 3.147160 5801 0.003560
8 3.137720 5901 0.033498
7 3.140000 5901 0.025097
6 3.149160 5901 0.025847
5 3.143440 5901 0.023682
4 3.138680 5901 0.022820
3 3.131720 5901 0.022421
2 3.144120 5901 0.034630
1 3.145520 5901 0.003084
8 3.143400 6001 0.030022
7 3.142880 6001 0.023777
6 3.148720 6001 0.024854
5 3.144360 6001 0.022745
4 3.128200 6001 0.017892
3 3.149760 6001 0.015921
2 3.137320 6001 0.037253
1 3.143640 6001 0.002911
8 3.141880 6101 0.024894
7 3.133160 6101 0.025378
6 3.142880 6101 0.023084
5 3.149280 6101 0.023435
4 3.143120 6101 0.019707
3 3.145400 6101 0.022844
2 3.144040 6101 0.035769
1 3.140720 6101 0.003017
8 3.137120 6201 0.032956
7 3.141560 6201 0.031464
6 3.138400 6201 0.023137
5 3.150640 6201 0.023176
4 3.141000 6201 0.020140
3 3.143360 6201 0.021158
2 3.138960 6201 0.037798
1 3.133600 6201 0.002896
8 3.143800 6301 0.029740
7 3.144880 6301 0.023323
6 3.144760 6301 0.023617
5 3.139480 6301 0.020981
4 3.144280 6301 0.020323
3 3.132800 6301 0.017355
2 3.128560 6301 0.010486
1 3.136720 6301 0.003322
8 3.136280 6401 0.030020
7 3.146520 6401 0.023216
6 3.139680 6401 0.024970
5 3.145800 6401 0.023359
4 3.140040 6401 0.020573
3 3.142000 6401 0.023702
2 3.144600 6401 0.037986
1 3.143880 6401 0.002957
8 3.137680 6501 0.032480
7 3.146640 6501 0.031801
6 3.140000 6501 0.023879
5 3.136200 6501 0.022566
4 3.146240 6501 0.019836
3 3.141360 6501 0.017654
2 3.150240 6501 0.038370
1 3.136680 6501 0.003026
8 3.134920 6601 0.025048
7 3.147680 6601 0.027610
6 3.139400 6601 0.022749
5 3.140280 6601 0.022191
4 3.136760 6601 0.019123
3 3.139960 6601 0.014765
2 3.135320 6601 0.019696
1 3.137000 6601 0.004004
8 3.144640 6701 0.027928
7 3.133640 6701 0.032869
6 3.138640 6701 0.022975
5 3.137840 6701 0.022669
4 3.139920 6701 0.021638
3 3.141680 6701 0.021255
2 3.143720 6701 0.033573
1 3.132200 6701 0.003050
8 3.146840 6801 0.030686
7 3.137440 6801 0.024467
6 3.138960 6801 0.026407
5 3.138160 6801 0.025376
4 3.140320 6801 0.020529
3 3.135800 6801 0.018931
2 3.146680 6801 0.032376
1 3.141640 6801 0.002983
8 3.137200 6901 0.024251
7 3.142680 6901 0.024744
6 3.139320 6901 0.023423
5 3.145280 6901 0.022962
4 3.139760 6901 0.019599
3 3.131920 6901 0.020246
2 3.138880 6901 0.023874
1 3.145280 6901 0.003042
8 3.141400 7001 0.024875
7 3.146400 7001 0.024683
6 3.136520 7001 0.024052
5 3.139360 7001 0.023151
4 3.137960 7001 0.017216
3 3.137400 7001 0.016147
2 3.139600 7001 0.010027
1 3.142360 7001 0.003286
8 3.131880 7101 0.030288
7 3.143760 7101 0.024144
6 3.140800 7101 0.024151
5 3.149080 7101 0.021427
4 3.145560 7101 0.019317
3 3.138440 7101 0.018045
2 3.141000 7101 0.010369
1 3.135760 7101 0.003350
8 3.145040 7201 0.024813
7 3.137240 7201 0.027729
6 3.139440 7201 0.024760
5 3.142560 7201 0.021977
4 3.137680 7201 0.018314
3 3.137800 7201 0.015338
2 3.137040 7201 0.039046
1 3.143760 7201 0.002879
8 3.145600 7301 0.023964
7 3.136960 7301 0.028309
6 3.128440 7301 0.023387
5 3.140160 7301 0.024392
4 3.134320 7301 0.020107
